iteration,sse
0,48517269.520706
1,19180910.550359
2,15980140.575530
3,14553356.616921
4,13650324.736156
5,12991367.782228
6,12470843.171261
7,11994154.418905
8,11509307.743082
9,11047217.372175
10,10702220.167976
11,10505464.465103
12,10395544.422665
13,10327620.778199
14,10277664.631420
15,10236733.455764
16,10201551.111533
17,10170545.583661
18,10142837.852464
19,10117930.067177
20,10095469.498937
21,10075276.058772
22,10056351.701083
23,10038818.707354
24,10022683.112014
25,10007347.374543
26,9992406.519479
27,9977459.179548
28,9962407.443206
29,9947242.522869
30,9931059.569323
31,9912975.224684
32,9892814.574917
33,9870152.302324
34,9844475.803567
35,9814121.767589
36,9777021.188556
37,9728994.249027
38,9664204.135465
39,9576814.765890
40,9456159.514416
41,9286134.439314
42,9065696.343173
43,8820577.012703
44,8600673.883161
45,8449218.752909
46,8367501.189317
47,8330332.391241
48,8314050.999891
49,8306083.873405
50,8301814.385215
51,8299218.597834
52,8297428.623657
53,8296049.987406
54,8294797.316389
55,8293703.189785
56,8292775.736812
57,8291979.210931
58,8291240.269746
59,8290530.441177
60,8289838.741313
61,8289166.971195
62,8288495.587737
63,8287872.753249
64,8287299.317455
65,8286752.738744
66,8286234.036859
67,8285757.865306
68,8285279.336987
69,8284819.802441
70,8284353.044871
71,8283918.287325
72,8283507.723746
73,8283097.493488
74,8282716.160581
75,8282390.676171
76,8282121.662234
77,8281895.890055
78,8281695.108518
79,8281479.230789
80,8281266.261537
81,8281061.307742
82,8280872.159648
83,8280673.670610
84,8280497.751403
85,8280348.959131
86,8280221.187664
87,8280113.231328
88,8280006.276577
89,8279917.151165
90,8279833.094392
91,8279752.224704
92,8279666.963550
93,8279580.427374
94,8279497.219078
95,8279426.255530
96,8279360.581682
97,8279291.156877
98,8279224.521723
99,8279161.144560
